School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Conf._W,Conf._L,Home_W,Home_L,Away_W,Away_L,Points_Tm.,Points_Opp.,Totals_MP,Totals_FG,Totals_FGA,Totals_FG%,Totals_3P,Totals_3PA,Totals_3P%,Totals_FT,Totals_FTA,Totals_FT%,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF
Weber State,21,16,5,0.762,3.07,-6.44,11,3,10,0,6,5,1746,1455,840,608,1188,0.512,185,463,0.4,345,441,0.782,134,697,328,140,65,263,351
West Virginia,23,17,6,0.739,16.75,10.49,10,4,7,3,7,2,1773,1629,930,611,1417,0.431,167,458,0.365,384,549,0.699,307,890,321,160,62,272,375
Western Carolina,26,11,15,0.423,-6.39,-1.35,4,13,6,5,4,9,1953,2029,1065,687,1512,0.454,216,628,0.344,363,499,0.727,205,898,347,127,74,373,431
Western Illinois,21,7,14,0.333,-12.3,-4.9,5,9,2,5,4,9,1537,1660,840,528,1302,0.406,150,470,0.319,331,466,0.71,249,808,221,112,66,277,420
Western Kentucky,21,16,5,0.762,6.13,0.65,9,2,9,1,5,3,1573,1458,845,556,1208,0.46,131,379,0.346,330,420,0.786,228,802,282,143,87,306,310
Western Michigan,19,4,15,0.211,-10.01,1.94,3,11,2,8,2,7,1189,1384,760,449,1054,0.426,123,387,0.318,168,265,0.634,151,633,219,86,40,272,313
Wichita State,17,13,4,0.765,10.35,8.68,9,2,9,2,4,2,1235,1156,690,413,1024,0.403,132,401,0.329,277,395,0.701,213,661,211,98,60,198,274
William & Mary,15,6,9,0.4,-11.17,-3.17,4,6,1,3,5,6,981,1101,605,346,837,0.413,89,304,0.293,200,269,0.743,150,499,168,77,50,205,235
Winthrop,21,20,1,0.952,3.39,-7.51,17,1,8,1,10,0,1664,1435,840,586,1284,0.456,177,501,0.353,315,464,0.679,275,841,309,166,50,301,382
Wisconsin,25,16,9,0.64,18.41,11.77,10,8,11,5,5,4,1745,1579,1010,613,1461,0.42,213,596,0.357,306,405,0.756,211,857,330,155,95,224,398
Wofford,23,15,8,0.652,2.31,0.17,12,5,9,3,6,4,1723,1565,925,623,1313,0.474,236,656,0.36,241,344,0.701,208,798,338,154,46,299,367
Wright State,23,18,5,0.783,9,-6.26,16,4,9,3,9,2,1875,1524,920,681,1410,0.483,173,465,0.372,340,473,0.719,273,968,362,133,83,294,308
Wyoming,21,12,9,0.571,-3.29,-3.34,4,8,6,5,4,4,1599,1598,850,541,1225,0.442,209,601,0.348,308,429,0.718,179,689,291,121,45,240,404
Xavier,18,13,5,0.722,13.84,7.68,6,5,11,2,2,3,1377,1266,725,516,1100,0.469,140,418,0.335,205,299,0.686,165,683,330,128,78,205,272
Yale,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Youngstown State,26,15,11,0.577,-8.21,-6.71,9,11,10,5,5,6,1927,1863,1050,686,1609,0.426,173,572,0.302,382,528,0.723,336,953,326,158,42,290,422
